ID,Book Title,Author,Lenght,Price
199,OUR HIDDEN CONVERSATIONS: WHAT AMERICANS REALLY THINK ABOUT RACE AND IDENTITY,BY MICHELE NORRIS,17 hr 44 min,$29.99
200,THE OTHER MOTHERS,BY KATHERINE FAULKNER,12 hr 25 min,$23.99
201,THE STOLEN HEIR: A NOVEL OF ELFHAME,BY HOLLY BLACK,10 hr 9 min,$27.99
202,ALL THAT WE ARE TOGETHER,BY ALICE KELLEN,10 hr 29 min,$24.99
203,THE THROWAWAY CHILDREN,BY DINEY COSTELOE,17 hr 57 min,$24.99
204,GIRL IN PIECES,BY KATHLEEN GLASGOW,10 hr 43 min,$27.50
205,MIXED SIGNALS,BY B.K. BORISON,10 hr 16 min,$24.99
206,DIRTY THIRTY,BY JANET EVANOVICH,8 hr 2 min,$24.99
207,THE OTHER FAMILY: A NOVEL,BY WENDY CORSI STAUB,9 hr 7 min,$27.99
208,THE LOVE HYPOTHESIS,BY ALI HAZELWOOD,11 hr 51 min,$20.00
209,"I, JEDI: STAR WARS LEGENDS",BY MICHAEL A. STACKPOLE,14 hr 0 min,Coming soon
210,"THINKING, FAST AND SLOW",BY DANIEL KAHNEMAN,20 hr 2 min,$27.50
211,WOLF IN THE ATTIC,BY PAUL KEARNEY,7 hr 48 min,$13.75
212,THE 5 LOVE LANGUAGES: THE SECRET TO LOVE THAT LASTS,BY GARY CHAPMAN,4 hr 47 min,$27.99
213,ATLAS OF THE HEART: MAPPING MEANINGFUL CONNECTION AND THE LANGUAGE OF HUMAN EXPERIENCE,BY BRENÉ BROWN,8 hr 29 min,$25.00
214,"BOUNDARIES UPDATED AND EXPANDED EDITION: WHEN TO SAY YES, HOW TO SAY NO TO TAKE CONTROL OF YOUR LIFE",BY HENRY CLOUD,11 hr 18 min,$28.99
215,THE HOUSE IN THE PINES: A NOVEL,BY ANA REYES,8 hr 34 min,$20.00
216,BEFORE WE WERE YOURS: A NOVEL,BY LISA WINGATE,14 hr 29 min,$25.00
217,"THE COURAGE TO BE DISLIKED: HOW TO FREE YOURSELF, CHANGE YOUR LIFE, AND ACHIEVE REAL HAPPINESS",BY FUMITAKE KOGA,6 hr 29 min,$17.99
218,"[GERMAN] - FRIENDS, LOVERS AND THE BIG TERRIBLE THING - DIE AUTOBIOGRAFIE DES FRIENDS-STARS (UNGEKÜRZT) [UNABRIDGED AUDIOBOOK]",BY MATTHEW PERRY,9 hr 33 min,Coming soon
219,THE OUTSIDER: A NOVEL,BY STEPHEN KING,18 hr 41 min,$29.99
220,RULES OF PREY,BY JOHN SANDFORD,11 hr 54 min,$24.99
221,THINK LIKE A MONK: TRAIN YOUR MIND FOR PEACE AND PURPOSE EVERY DAY,BY JAY SHETTY,11 hr 0 min,$24.99
222,IT'S NOT YOU: IDENTIFYING AND HEALING FROM NARCISSISTIC PEOPLE,BY RAMANI DURVASULA,11 hr 31 min,Coming soon
223,SAPIENS: A BRIEF HISTORY OF HUMANKIND,BY YUVAL NOAH HARARI,15 hr 18 min,$31.99
224,AFTER WE WERE STOLEN,BY BROOKE BEYFUSS,10 hr 10 min,$24.99
225,"THE KINGDOM, THE POWER, AND THE GLORY: AMERICAN EVANGELICALS IN AN AGE OF EXTREMISM",BY TIM ALBERTA,18 hr 15 min,$27.99
226,WHO'S THAT GIRL,BY T. S. HUNTER,2 hr 48 min,$10.99
227,MAYBE SOMEDAY,BY COLLEEN HOOVER,10 hr 40 min,$17.99
228,"THE NEW MENOPAUSE: NAVIGATING YOUR PATH THROUGH HORMONAL CHANGE WITH PURPOSE, POWER, AND FACTS",BY MARY CLAIRE HAVER,11 hr 0 min,Coming soon
229,DARE TO LEAD: BRAVE WORK. TOUGH CONVERSATIONS. WHOLE HEARTS.,BY BRENÉ BROWN,8 hr 11 min,$20.00
230,"BRAIDING SWEETGRASS: INDIGENOUS WISDOM, SCIENTIFIC KNOWLEDGE AND THE TEACHINGS OF PLANTS",BY ROBIN WALL KIMMERER,16 hr 46 min,$22.49
231,101 ESSAYS THAT WILL CHANGE THE WAY YOU THINK,BY BRIANNA WIEST,10 hr 46 min,$19.99
232,DO THE NEW YOU: 6 MINDSETS TO BECOME WHO YOU WERE CREATED TO BE,BY STEVEN FURTICK,9 hr 42 min,Coming soon
233,TOXIC PREY,BY JOHN SANDFORD,12 hr 0 min,Coming soon
234,NO ONE CAN KNOW: A NOVEL,BY KATE ALICE MARSHALL,10 hr 15 min,$26.99
235,ALL YOUR PERFECTS: A NOVEL,BY COLLEEN HOOVER,7 hr 44 min,$19.99
236,THE 5AM CLUB: OWN YOUR MORNING. ELEVATE YOUR LIFE.,BY ROBIN SHARMA,11 hr 5 min,$27.99
237,THE CRUEL PRINCE,BY HOLLY BLACK,12 hr 30 min,$26.98
238,THE FURY: FROM THE BESTSELLING AUTHOR OF THE SILENT PATIENT,BY ALEX MICHAELIDES,8 hr 10 min,Coming soon
239,HOW TO TALK TO ANYONE: 92 LITTLE TRICKS FOR BIG SUCCESS IN RELATIONSHIPS,BY LEIL LOWNDES,8 hr 59 min,$35.99
240,THE BURNING: A NOVEL,BY LINDA CASTILLO,10 hr 0 min,Coming soon
241,JUST THE NICEST COUPLE,BY MARY KUBICA,10 hr 32 min,$27.99
242,THE RIVER WE REMEMBER: A NOVEL,BY WILLIAM KENT KRUEGER,13 hr 33 min,$24.99
243,ONE OF US IS LYING: TIKTOK MADE ME BUY IT,BY KAREN M. MCMANUS,10 hr 43 min,Coming soon
244,THE FAMILY GATHERING,BY ROBYN CARR,10 hr 10 min,$24.99
245,BRIDE,BY ALI HAZELWOOD,12 hr 47 min,Coming soon
246,THE TENX RULE: THE ONLY DIFFERENCE BETWEEN SUCCESS AND FAILURE,BY GRANT CARDONE,7 hr 24 min,$27.98
247,CAMINO GHOSTS: A NOVEL,BY JOHN GRISHAM,9 hr 0 min,Coming soon
248,EXPANDED AND UPDATED: THE TOTAL MONEY MAKEOVER: A PROVEN PLAN FOR FINANCIAL PEACE,BY DAVE RAMSEY,7 hr 17 min,Coming soon
249,"SIS, DON'T SETTLE: HOW TO STAY SMART IN MATTERS OF THE HEART",BY FAITH JENKINS,8 hr 20 min,$24.99
250,KING OF FLESH AND BONE: A DARK FANTASY ROMANCE,BY LIV ZANDER,8 hr 7 min,$24.99
251,"EROTICA FOR HORNY WOMEN, COLLECTION: FORBIDDEN EXPLICIT STORIES, THREESOME DESIRES AND DIRTY SEXY GAMES",BY RACHEL WILD,7 hr 42 min,$24.90
252,THINK AND GROW RICH,BY MITCH HOROWITZ,9 hr 36 min,$24.98
253,"FORGIVING WHAT YOU CAN'T FORGET: DISCOVER HOW TO MOVE ON, MAKE PEACE WITH PAINFUL MEMORIES, AND CREATE A LIFE THAT’S BEAUTIFUL AGAIN",BY LYSA TERKEURST,8 hr 20 min,$24.99
254,THE SILENT WOMAN,BY MINKA KENT,7 hr 32 min,$16.95
255,THE LITTLE LIAR: A NOVEL,BY MITCH ALBOM,7 hr 40 min,$27.99
256,"GIRL, WOMAN, OTHER: WINNER OF THE BOOKER PRIZE 2019",BY BERNARDINE EVARISTO,11 hr 7 min,Coming soon
257,WE'LL ALWAYS HAVE SUMMER,BY JENNY HAN,6 hr 3 min,$19.99
258,LESSONS IN CHEMISTRY: THE MULTI-MILLION-COPY BESTSELLER,BY BONNIE GARMUS,11 hr 56 min,Coming soon
259,TWO TWISTED CROWNS,BY RACHEL GILLIG,14 hr 12 min,$31.99
260,THE PARIS APARTMENT: A NOVEL,BY LUCY FOLEY,12 hr 53 min,$27.99
261,SOMEONE ELSE'S SHOES: A NOVEL,BY JOJO MOYES,12 hr 21 min,$25.00
262,12 RULES FOR LIFE: AN ANTIDOTE TO CHAOS,BY JORDAN B. PETERSON,15 hr 56 min,Coming soon
263,EVOLVE YOUR BRAIN: THE SCIENCE OF CHANGING YOUR MIND,BY JOE DISPENZA DC,18 hr 39 min,$22.99
264,THE SONG OF ACHILLES: A NOVEL,BY MADELINE MILLER,11 hr 15 min,$27.99
265,NOT IN LOVE,BY ALI HAZELWOOD,12 hr 30 min,Coming soon
266,TWILIGHT,BY STEPHENIE MEYER,12 hr 51 min,$24.00
267,ONE PERFECT COUPLE,BY RUTH WARE,12 hr 30 min,Coming soon
268,THE PRISONER'S THRONE,BY HOLLY BLACK,11 hr 58 min,Coming soon
269,CASTE (OPRAH'S BOOK CLUB): THE ORIGINS OF OUR DISCONTENTS,BY ISABEL WILKERSON,15 hr 10 min,$25.00
270,THE GIRL ON THE TRAIN,BY PAULA HAWKINS,11 hr 4 min,Coming soon
271,[SPANISH] - QUIÉRETE ¡Y MUCHO!,BY MARC REKLAU,4 hr 36 min,$10.99
272,"HOT ROUGH AND EXPLICIT TABOO SEX STORIES FOR ADULTS: NEW EROTICA COLLECTION, FIRST TIME, LESBIANS, BDSM, BISEXUALS THREESOMES, DIRTY TALK, INTENSE TANTRIC SEX, BLOWJOBS, ANAL, GANGBANGS AND MUCH MORE",BY EVELYN DUSTIN,15 hr 14 min,$19.95
273,HOW TO WIN FRIENDS AND INFLUENCE PEOPLE: UPDATED FOR THE NEXT GENERATION OF LEADERS,BY DALE CARNEGIE,8 hr 18 min,$24.99
274,THE AU PAIR AFFAIR: A NOVEL,BY TESSA BAILEY,12 hr 0 min,Coming soon
275,ENOUGH,BY CASSIDY HUTCHINSON,11 hr 36 min,$24.99
276,A COURT OF FROST AND STARLIGHT [DRAMATIZED ADAPTATION]: A COURT OF THORNS AND ROSES 3.1,BY SARAH J. MAAS,5 hr 33 min,$19.99
277,ON THE SAME PAGE,BY HALEY CASS,17 hr 0 min,Coming soon
278,EDUCATED: THE INTERNATIONAL BESTSELLING MEMOIR,BY TARA WESTOVER,12 hr 10 min,Coming soon
279,LIGHT BRINGER: A RED RISING NOVEL,BY PIERCE BROWN,30 hr 9 min,$34.99
280,THE GLASS BOX,BY J. MICHAEL STRACZYNSKI,9 hr 7 min,$19.95
281,UNTANGLE YOUR EMOTIONS: NAMING WHAT YOU FEEL AND KNOWING WHAT TO DO ABOUT IT,BY JENNIE ALLEN,5 hr 31 min,Coming soon
282,"LOVE, THEORETICALLY",BY ALI HAZELWOOD,12 hr 33 min,$22.50
283,OUTLIERS: THE STORY OF SUCCESS,BY MALCOLM GLADWELL,7 hr 18 min,$26.98
284,"THE DEMON OF UNREST: A SAGA OF HUBRIS, HEARTBREAK, AND HEROISM AT THE DAWN OF THE CIVIL WAR",BY ERIK LARSON,15 hr 0 min,Coming soon
285,"DON'T OVERTHINK IT: MAKE EASIER DECISIONS, STOP SECOND-GUESSING, AND BRING MORE JOY TO YOUR LIFE",BY ANNE BOGEL,4 hr 28 min,$19.99
286,THE LAWS OF HUMAN NATURE,BY ROBERT A. GREENE,28 hr 30 min,$30.00
287,ICEBREAKER,BY HANNAH GRACE,13 hr 23 min,$19.99
288,THE LOST HERO,BY RICK RIORDAN,16 hr 33 min,$38.50
289,DEAD MAN'S HAND: A NOVEL,BY BRAD TAYLOR,12 hr 43 min,$27.99
290,BEFORE WE WERE INNOCENT: REESE'S BOOK CLUB,BY ELLA BERMAN,11 hr 0 min,$22.50
291,TALKING TO STRANGERS: WHAT WE SHOULD KNOW ABOUT THE PEOPLE WE DON'T KNOW,BY MALCOLM GLADWELL,8 hr 57 min,$26.98
292,WRONG PLACE WRONG TIME: A NOVEL,BY GILLIAN MCALLISTER,10 hr 7 min,$27.99
293,SYSTEM COLLAPSE,BY MARTHA WELLS,6 hr 36 min,$19.99
294,"ASK AGAIN, YES: THE GRIPPING, EMOTIONAL AND LIFE-AFFIRMING NEW YORK TIMES BESTSELLER",BY MARY BETH KEANE,12 hr 43 min,Coming soon
295,THE WATERS,BY BONNIE JO CAMPBELL,14 hr 40 min,$24.99
296,SHATTER ME,BY TAHEREH MAFI,9 hr 13 min,$27.99
297,[SPANISH] - ANTES DE DICIEMBRE (EDICIÓN REVISADA POR LA AUTORA) (MESES A TU LADO 1),BY JOANA MARCÚS,21 hr 44 min,$20.99
298,THE 5 AM CLUB: OWN YOUR MORNING. ELEVATE YOUR LIFE.,BY ROBIN SHARMA,11 hr 5 min,Coming soon
299,ARCHER'S VOICE,BY MIA SHERIDAN,11 hr 51 min,$27.99
300,YOU SHOULDN’T HAVE COME HERE,BY JENEVA ROSE,8 hr 1 min,$19.95
301,BECOMING SUPERNATURAL: HOW COMMON PEOPLE ARE DOING THE UNCOMMON,BY DR. JOE DISPENZA,14 hr 6 min,$40.00
302,UNFU*K YOURSELF: GET OUT OF YOUR HEAD AND INTO YOUR LIFE,BY GARY JOHN BISHOP,3 hr 24 min,$17.99
303,A COURT OF SILVER FLAMES (2 OF 2) [DRAMATIZED ADAPTATION]: A COURT OF THORNS AND ROSES 4,BY SARAH J. MAAS,10 hr 33 min,$29.99
304,THE HATE U GIVE,BY ANGIE THOMAS,11 hr 50 min,$27.99
305,THE BLUE ZONES OF HAPPINESS: LESSONS FROM THE WORLD'S HAPPIEST PEOPLE,BY DAN BUETTNER,9 hr 11 min,$24.99
306,CRAVE,BY TRACY WOLFF,14 hr 56 min,$29.99
307,QUEEN CHARLOTTE: BEFORE THE BRIDGERTONS CAME THE LOVE STORY THAT CHANGED THE TON...,BY SHONDA RHIMES,12 hr 23 min,$27.99
308,ALL RHODES LEAD HERE: A NOVEL,BY MARIANA ZAPATA,17 hr 5 min,Coming soon
309,THE DELUGE,BY STEPHEN MARKLEY,40 hr 39 min,$39.99
310,MY EFFIN' LIFE,BY GEDDY LEE,16 hr 20 min,$27.99
311,MISSION MANHATTAN,BY JAMES PONTI,8 hr 28 min,Coming soon
312,[SPANISH] - FRIDA KAHLO - S01E01,BY CARMEN DOMINGO,1 hr 11 min,$10.99
313,MY NAME IS BARBRA,BY BARBRA STREISAND,48 hr 17 min,$50.00
314,CONFESS,BY COLLEEN HOOVER,7 hr 50 min,$23.99
315,BAD FEMINIST: ESSAYS,BY ROXANE GAY,11 hr 47 min,$27.99
316,POWERLESS,BY LAUREN ROBERTS,17 hr 28 min,$29.99
317,THE STAND,BY STEPHEN KING,47 hr 50 min,$45.00
318,THE WOMAN IN CABIN 10,BY RUTH WARE,11 hr 9 min,$19.99
319,THE SEVEN HUSBANDS OF EVELYN HUGO: THE SUNDAY TIMES BESTSELLER,BY TAYLOR JENKINS REID,12 hr 10 min,$19.99
320,BEHIND CLOSED DOORS,BY B.A. PARIS,8 hr 45 min,$13.75
321,[SPANISH] - 1984,BY ANNA LEA,4 hr 4 min,$9.99
322,ONLY SAY GOOD THINGS: SURVIVING PLAYBOY AND FINDING MYSELF,BY CRYSTAL HEFNER,6 hr 30 min,$24.99
323,THE CHEAT SHEET,BY SARAH ADAMS,8 hr 57 min,$24.99
324,A COURT OF WINGS AND RUIN (3 OF 3) [DRAMATIZED ADAPTATION]: A COURT OF THORNS AND ROSES 3,BY SARAH J. MAAS,6 hr 0 min,$19.99
325,"BLACK FLAGS, BLUE WATERS: THE EPIC HISTORY OF AMERICA'S MOST NOTORIOUS PIRATES",BY ERIC JAY DOLIN,10 hr 30 min,$24.99
326,FIFTY SHADES OF GREY: BOOK ONE OF THE FIFTY SHADES TRILOGY,BY E L JAMES,19 hr 49 min,$24.00
327,AND THEN SHE VANISHED,BY NICK JONES,9 hr 7 min,$19.95
328,THE WINTER DUCHESS,BY JILLIAN EATON,2 hr 57 min,$10.99
329,ONE DARK WINDOW,BY RACHEL GILLIG,12 hr 45 min,$31.99
330,WINTER MOON,BY DEAN KOONTZ,11 hr 23 min,$42.99
331,IT'S NOT SUMMER WITHOUT YOU,BY JENNY HAN,6 hr 7 min,$19.99
332,THE WOLF MILE,BY C.F. BARRINGTON,11 hr 24 min,$17.99
333,FAMILY FAMILY: A NOVEL,BY LAURIE FRANKEL,13 hr 30 min,$26.99
334,MAGDALENE NOX,BY MILENA MCKAY,14 hr 0 min,Coming soon
335,FLUENT FOREVER: HOW TO LEARN ANY LANGUAGE FAST AND NEVER FORGET IT,BY GABRIEL WYNER,7 hr 53 min,$24.99
336,THE KILLING GAME (AN ALEXA CHASE SUSPENSE THRILLER—BOOK 1),BY KATE BOLD,6 hr 33 min,$1.99
337,THE CREATIVE ACT: A WAY OF BEING,BY RICK RUBIN,5 hr 45 min,$22.50
338,"EROTICA STORIES FOR PLEASURE: ADULTS EXPLICIT EROTICA COLLECTION OF DIRTY TABOO SEX STORIES, FIRST TIME, FORBIDDEN DESIRES, SAVAGE, ORGASMIC AND MUCH MORE",BY THERESA RENO,10 hr 35 min,$19.97
339,"IF YOU TELL: A TRUE STORY OF MURDER, FAMILY SECRETS, AND THE UNBREAKABLE BOND OF SISTERHOOD",BY GREGG OLSEN,10 hr 34 min,$42.99
340,HOW I MAGICALLY UNSTUCK MY LIFE IN 30 DAYS,BY SANDY GALLAGHER,2 hr 4 min,$19.99
341,THE GLASS CASTLE: A MEMOIR,BY JEANNETTE WALLS,9 hr 0 min,$23.95
342,BREATH: THE NEW SCIENCE OF A LOST ART,BY JAMES NESTOR,7 hr 18 min,$17.50
343,HORSE: A NOVEL,BY GERALDINE BROOKS,14 hr 6 min,$22.50
344,"WINNING THE WAR IN YOUR MIND: CHANGE YOUR THINKING, CHANGE YOUR LIFE",BY CRAIG GROESCHEL,4 hr 58 min,$18.99
345,THE SEA OF MONSTERS: PERCY JACKSON AND THE OLYMPIANS: BOOK 2,BY RICK RIORDAN,7 hr 55 min,$18.50
346,A BLACK AND ENDLESS SKY,BY MATTHEW LYONS,11 hr 4 min,$24.99
347,A TOUCH OF DARKNESS,BY SCARLETT ST. CLAIR,11 hr 6 min,$19.99
348,[SPANISH] - LOS SECRETOS DE LA MENTE MILLONARIA,BY T. HARV EKER,2 hr 10 min,$17.99
349,THE PERSONAL LIBRARIAN,BY MARIE BENEDICT,12 hr 23 min,$22.50
350,OATH BOUND,BY RICHARD CULLEN,11 hr 31 min,$17.99
351,ASSISTANT TO THE VILLAIN,BY HANNAH NICOLE MAEHRER,13 hr 54 min,$24.99
352,WARD D,BY FREIDA MCFADDEN,7 hr 20 min,$24.99
353,THE COUPLE NEXT DOOR,BY SHARI LAPENA,8 hr 40 min,Coming soon
354,THE HONEYMOON CRASHERS: AN AUDIO ORIGINAL,BY CHRISTINA LAUREN,4 hr 47 min,$19.99
355,IT STARTS WITH US: THE HIGHLY ANTICIPATED SEQUEL TO IT ENDS WITH US,BY OLIVIA SONG,8 hr 41 min,$19.99
356,A FATE INKED IN BLOOD: BOOK ONE OF THE SAGA OF THE UNFATED,BY DANIELLE L. JENSEN,15 hr 16 min,Coming soon
357,SLAMMED: A NOVEL,BY COLLEEN HOOVER,7 hr 14 min,$17.99
358,AMERICAN PROMETHEUS: THE TRIUMPH AND TRAGEDY OF J. ROBERT OPPENHEIMER,BY MARTIN J. SHERWIN,26 hr 30 min,$34.95
359,THE GARDEN WITHIN: AUDIO BIBLE STUDIES: WHERE THE WAR WITH YOUR EMOTIONS ENDS AND YOUR MOST POWERFUL LIFE BEGINS,BY DR. ANITA PHILLIPS,2 hr 34 min,Coming soon
360,DON'T LET HER STAY,BY NICOLA SANDERS,8 hr 24 min,$24.99
361,THE LIGHTHOUSE: ROMANTIC WOMEN'S FICTION,BY JESSIE NEWTON,9 hr 20 min,$12.99
362,THE BROTHERS HAWTHORNE,BY JENNIFER LYNN BARNES,13 hr 0 min,$31.99
363,THE GRATEFUL LIFE: THE SECRET TO HAPPINESS AND THE SCIENCE OF CONTENTMENT,BY MARY BETH SAMMONS,6 hr 19 min,$16.95
364,THE CUTTING SEASON,BY ATTICA LOCKE,13 hr 0 min,$16.93
365,"NUDGE: IMPROVING DECISIONS ABOUT HEALTH, WEALTH, AND HAPPINESS",BY CASS R. SUNSTEIN,11 hr 32 min,$24.98
366,TOO MUCH AND NEVER ENOUGH: HOW MY FAMILY CREATED THE WORLD'S MOST DANGEROUS MAN,BY MARY L. TRUMP,7 hr 5 min,$17.99
367,THE HEAVEN & EARTH GROCERY STORE: A NOVEL,BY JAMES MCBRIDE,12 hr 21 min,$25.00
368,[SPANISH] - CÓMO GANAR AMIGOS E INFLUIR SOBRE LAS PERSONAS [HOW TO WIN FRIENDS AND INFLUENCE PEOPLE],BY DALE CARNEGIE,0 hr 56 min,$5.99
369,THE STORM WE MADE: A NOVEL,BY VANESSA CHAN,10 hr 52 min,$24.99
370,SHE'S NOT SORRY,BY MARY KUBICA,10 hr 45 min,Coming soon
371,THE BRIDE TEST,BY HELEN HOANG,10 hr 0 min,$24.99
372,CRYING IN H MART: A MEMOIR,BY MICHELLE ZAUNER,7 hr 23 min,$20.00
373,THE STORYTELLER,BY JODI PICOULT,18 hr 16 min,$29.99
374,[SPANISH] - 21 CREENCIAS QUE NOS AMARGAN LA VIDA,BY NIEVES MACHÍN,2 hr 45 min,$10.99
375,MAYBE NOT,BY COLLEEN HOOVER,3 hr 15 min,$4.99
376,THE PERFECT MARRIAGE: A COMPLETELY GRIPPING PSYCHOLOGICAL SUSPENSE,BY JENEVA ROSE,8 hr 52 min,$24.99
377,THE COLLECTOR: A NOVEL,BY DANIEL SILVA,9 hr 12 min,$27.99
378,"ALPHA IN THE SHEETS: AFTER HOURS, BOOK ONE",BY TAMSEN PARKER,7 hr 36 min,$19.95
379,"RAUNCHY TABOO SEX STORIES (2 BOOKS IN 1): LESBIAN SEX, THREESOMES, ORGY, GANGBANGS, BDSM, MILFS, FIRST ANAL PENETRATION FOR A VIRGIN, DOMINATION, SUBMISSION AND DOUBLE PENETRATION",BY SAMANTHA RAJII,19 hr 24 min,$23.95
380,"THE MYTH OF NORMAL: TRAUMA, ILLNESS, AND HEALING IN A TOXIC CULTURE",BY DANIEL MATÉ,18 hr 12 min,$25.00
381,THE ROAD,BY CORMAC MCCARTHY,6 hr 41 min,$19.99
382,"PSYCHOLOGY OF MONEY: THE ESSENTIAL GUIDE TO BUILDING YOUR WEALTH , DISCOVER ALL THE IMPORTANT INFORMATION AND USEFUL STRATEGIES IN THE PURSUIT OF WEALTH",BY BENTLEY GRAM,1 hr 3 min,$4.99
383,DOWN THE DRAIN,BY JULIA FOX,10 hr 3 min,$24.99
384,BEACH READ,BY EMILY HENRY,10 hr 13 min,$20.00
385,THE BELOVED,BY J.R. WARD,10 hr 0 min,Coming soon
386,THE MONSTERS WE MAKE: A NOVEL,BY KALI WHITE,8 hr 51 min,$24.99
387,A WITCH'S GUIDE TO MAGICAL INNKEEPING,BY SANGU MANDANNA,10 hr 0 min,Coming soon
388,LITTLE GHOSTS: A COMPLETELY GRIPPING PSYCHOLOGICAL THRILLER WITH A SHOCKING TWIST,BY GREGG DUNNETT,11 hr 55 min,$24.99
389,WHITE SAND BLUES: AN ASHLEY GRANT MYSTERY,BY VICKI DELANY,2 hr 1 min,$9.99
390,IRRESISTIBLE LOVE,BY SAMANTHA CHASE,8 hr 41 min,Coming soon
391,THE INDIGO GIRL: A NOVEL,BY NATASHA BOYD,10 hr 32 min,$19.95
392,GET OUT OF YOUR HEAD: STOPPING THE SPIRAL OF TOXIC THOUGHTS,BY JENNIE ALLEN,5 hr 29 min,$17.50
393,LOVE ON THE BRAIN,BY ALI HAZELWOOD,11 hr 7 min,$20.00
394,"EXPLICIT SEX STORIES COLLECTION: HARD AND DIRTY FORBIDDEN EROTICA FOR ADULTS, FULL OF FILTHY AND STEAMY THREESOMES, ROUGH ANAL, BAD GIRLS, DARK BDSM, DOMINATION, DADDY’S SEDUCTION, AND MORE!",BY MIA FOSTER,3 hr 48 min,$16.95
395,[SPANISH] - CULPA MÍA (CULPABLES 1),BY MERCEDES RON,15 hr 19 min,$21.99
396,THE POWER OF HABIT: WHY WE DO WHAT WE DO IN LIFE AND BUSINESS,BY CHARLES DUHIGG,11 hr 10 min,$20.00
397,GOOD TO GREAT,BY JIM COLLINS,9 hr 59 min,$31.99
398,STILL SEE YOU EVERYWHERE,BY LISA GARDNER,11 hr 34 min,Coming soon
399,AFTER,BY ANNA TODD,16 hr 51 min,$29.99
